Plant ID,Scientific name,Family,Common name EN,Common name DE,Common name PT,Status,Source,Current location,Wikipedia
SBC-PLANT-0001,Capsicum annuum,Solanaceae,Pakoda chilis,Chili,pimento,Alive,Mexico to northern South America; Seed-grown from Sint Maarten fruit,Boat,https://en.wikipedia.org/wiki/Capsicum_annuum
SBC-PLANT-0002,Euphorbia milii,Euphorbiaceae,Crown of thorns,Christusdorn,coroa-de-cristo,Alive,Madagascar; Nursery plant Sint Maarten,Boat,https://en.wikipedia.org/wiki/Euphorbia_milii
SBC-PLANT-0003,Rhizophora mangle,Rhizophoraceae,Red mangrove,Rote Mangrove,mangue-vermelho,Alive,Tropical Atlantic coasts; Collected Martinique May 2026,Boat,https://en.wikipedia.org/wiki/Rhizophora_mangle
SBC-PLANT-0004,Medinilla magnifica,Melastomataceae,Rose grape / magnificent Medinilla,Medinille / Prachtmedinille,medinila-magnífica,Alive,"Philippines; Bloemenmarkt, Amsterdam, July 2026",Boat / travelling collection,https://en.wikipedia.org/wiki/Medinilla_magnifica
SBC-PLANT-0006,Coccoloba uvifera,Polygonaceae,Sea grape,Seetraube,uva-do-mar,Alive,"Caribbean and tropical Atlantic coasts; Collected from gardens of Port de Plaisance, Sint Maarten, February 2026",Boat,https://en.wikipedia.org/wiki/Coccoloba_uvifera
SBC-PLANT-0007,Vachellia erioloba,Fabaceae,Camelthorn / camel thorn acacia,Kameldorn-Akazie,espinheiro-de-camelo,Alive,"Sossusvlei desert, Namibia; Wild-collected seeds Sossusvlei Namibia January 2023; germinated December 2025",Boat / travelling collection,https://en.wikipedia.org/wiki/Vachellia_erioloba
